Date,People
1/01/2019 9:02,1
1/01/2019 9:30,4
1/01/2019 10:00,1
1/01/2019 10:30,4
1/01/2019 11:00,3
1/01/2019 11:30,2
1/01/2019 12:00,0
1/01/2019 12:30,3
1/01/2019 13:00,2
1/01/2019 13:30,2
1/01/2019 14:00,3
1/01/2019 14:30,2
1/01/2019 15:00,4
1/01/2019 15:30,3
1/01/2019 16:00,2
1/01/2019 16:30,4
1/01/2019 17:00,1
1/01/2019 17:30,2
1/01/2019 18:00,3
1/01/2019 18:30,5
1/01/2019 19:00,2
1/01/2019 19:30,5
1/01/2019 20:00,7
1/01/2019 20:30,9
1/01/2019 21:00,6
1/01/2019 21:30,2
1/01/2019 22:00,2
1/01/2019 22:30,6
1/01/2019 23:00,2
1/01/2019 23:30,3
2/01/2019 0:00,1
2/01/2019 0:30,1
2/01/2019 1:00,2
2/01/2019 1:30,2
2/01/2019 2:00,1
2/01/2019 2:30,1
2/01/2019 3:00,2
2/01/2019 3:30,1
2/01/2019 4:00,0
2/01/2019 4:30,2
2/01/2019 5:01,1
2/01/2019 5:30,0
2/01/2019 6:00,1
2/01/2019 6:30,1
2/01/2019 7:00,2
2/01/2019 7:30,3
2/01/2019 8:00,7
2/01/2019 8:31,20
2/01/2019 9:00,18
2/01/2019 9:30,18
2/01/2019 10:00,10
2/01/2019 10:31,6
2/01/2019 11:00,3
2/01/2019 11:30,4
2/01/2019 12:02,12
2/01/2019 12:30,9
2/01/2019 13:00,12
2/01/2019 13:30,8
2/01/2019 14:00,5
2/01/2019 14:30,17
2/01/2019 15:00,10
2/01/2019 15:30,10
2/01/2019 16:00,7
2/01/2019 16:30,11
2/01/2019 17:00,5
2/01/2019 17:31,5
2/01/2019 18:00,11
2/01/2019 18:30,10
2/01/2019 19:00,5
2/01/2019 19:30,10
2/01/2019 20:00,12
2/01/2019 20:30,9
2/01/2019 21:00,5
2/01/2019 21:30,6
2/01/2019 22:00,1
2/01/2019 22:30,5
2/01/2019 23:00,0
2/01/2019 23:30,1
3/01/2019 0:00,0
3/01/2019 0:30,0
3/01/2019 1:00,0
3/01/2019 1:30,1
3/01/2019 2:00,0
3/01/2019 2:33,0
3/01/2019 3:00,0
3/01/2019 3:30,1
3/01/2019 4:00,0
3/01/2019 4:30,0
3/01/2019 5:00,0
3/01/2019 5:30,0
3/01/2019 6:00,1
3/01/2019 6:30,0
3/01/2019 7:00,3
3/01/2019 7:30,10
3/01/2019 8:00,5
3/01/2019 8:30,20
3/01/2019 9:00,20
3/01/2019 9:30,40
3/01/2019 10:00,10
3/01/2019 10:30,13
3/01/2019 11:00,9
3/01/2019 11:30,1
3/01/2019 12:00,9
3/01/2019 12:30,24
3/01/2019 13:00,23
3/01/2019 13:30,25
3/01/2019 14:00,16
3/01/2019 14:30,8
3/01/2019 15:00,20
3/01/2019 15:30,6
3/01/2019 16:00,2
3/01/2019 16:30,6
3/01/2019 17:00,12
3/01/2019 17:30,13
3/01/2019 18:00,9
3/01/2019 18:30,12
3/01/2019 19:00,9
3/01/2019 19:30,9
3/01/2019 20:00,9
3/01/2019 20:30,6
