Date,People
11-Nov,52
11-Nov,32
11-Nov,47
11-Nov,50
11-Nov,22
11-Nov,20
11-Nov,27
11-Nov,28
11-Nov,27
11-Nov,23
11-Nov,16
11-Nov,11
11-Nov,9
11-Nov,12
11-Nov,10
11-Nov,4
11-Nov,6
11-Nov,0
11-Nov,1
12-Nov,1
12-Nov,0
12-Nov,0
12-Nov,0
12-Nov,3
12-Nov,4
12-Nov,3
12-Nov,3
12-Nov,0
12-Nov,5
12-Nov,5
12-Nov,2
12-Nov,3
12-Nov,2
12-Nov,6
12-Nov,11
12-Nov,11
12-Nov,45
12-Nov,49
12-Nov,24
12-Nov,38
12-Nov,27
12-Nov,43
12-Nov,41
12-Nov,65
12-Nov,80
12-Nov,80
12-Nov,70
12-Nov,64
12-Nov,39
12-Nov,51
12-Nov,48
12-Nov,65
12-Nov,50
12-Nov,39
12-Nov,62
12-Nov,56
12-Nov,56
12-Nov,35
12-Nov,23
12-Nov,42
12-Nov,31
12-Nov,6
12-Nov,7
12-Nov,6
12-Nov,0
12-Nov,3
12-Nov,3
13-Nov,1
13-Nov,0
13-Nov,2
13-Nov,0
13-Nov,3
13-Nov,0
13-Nov,6
13-Nov,2
13-Nov,0
13-Nov,3
13-Nov,4
13-Nov,2
13-Nov,3
13-Nov,3
13-Nov,7
13-Nov,10
13-Nov,16
13-Nov,54
13-Nov,44
13-Nov,44
13-Nov,51
13-Nov,29
13-Nov,27
13-Nov,48
13-Nov,57
13-Nov,45
13-Nov,65
13-Nov,44
13-Nov,66
13-Nov,71
13-Nov,56
13-Nov,51
13-Nov,59
13-Nov,30
13-Nov,34
13-Nov,66
13-Nov,31
13-Nov,42
13-Nov,27
13-Nov,18
13-Nov,12
13-Nov,15
13-Nov,11
13-Nov,5
13-Nov,5
13-Nov,1
13-Nov,1
13-Nov,0
14-Nov,1
14-Nov,1
14-Nov,0
14-Nov,2
14-Nov,0
14-Nov,2
14-Nov,6
14-Nov,1
14-Nov,2
